date, Per 100K Population, Annual % Change, 
1990,4.9706
1991,5.1456,3.52
1992,6.5544,27.38
1993,7.2024,9.89
1994,8.2565,14.64
1995,8.6575,4.86
1996,9.6796,11.81
1997,8.4304,-12.91
1998,8.4328,0.03
1999,8.6227,2.25
2000,9.0462,4.91
2001,10.0286,10.86
2002,8.9537,-10.72
2003,8.4926,-5.15
2004,7.385,-13.04
2005,6.4618,-12.5
2006,6.3466,-1.78
2007,5.7067,-10.08
2008,5.3424,-6.38
2009,4.8726,-8.79
2010,4.3414,-10.9
2012,5.1393,18.38
2014,6.3066,22.71
2017,6.1837,-1.95
